sample_id,pae_mean,pae_max,pae_std,pae_median,pae_p10,pae_p90,pae_frac_lt_5,pae_frac_gt_15,pae_asymmetry,pae_run
vdjdb_full_10155_rs_3_n0_iptm_filtered,3.092867,10.1,1.36588,3.0,1.4,4.7,0.9163237311385459,0.0,0.8798354,0
vdjdb_full_10155_rs_4_n0_iptm_filtered,4.376587,12.4,2.3336704,4.2,1.3,7.4,0.6347554630593132,0.0,1.673049,0
vdjdb_full_10155_ss_0_n0_iptm_filtered,11.088166,24.1,7.9157944,10.05,1.75,20.95,0.378698224852071,0.4511834319526627,2.4005919,0
vdjdb_full_10155_ss_1_n0_iptm_filtered,10.631953,25.7,9.918975,3.6,0.9,23.42,0.5680473372781065,0.4260355029585799,1.3230768,0
vdjdb_full_10155_ss_2_n0_iptm_filtered,10.056556,24.2,6.493148,9.6,1.8,18.4,0.3288888888888889,0.3322222222222222,2.5886664,0
vdjdb_full_10155_ss_3_n0_iptm_filtered,14.549465,28.4,10.793162,12.3,1.6,27.2,0.32936979785969084,0.4577883472057075,2.145779,0
vdjdb_full_10155_ss_4_n0_iptm_filtered,2.2765431,5.3,1.0922027,2.3,0.8,3.7,0.9876543209876543,0.0,0.5925926,0
vdjdb_full_10163_rs_0_n0_iptm_filtered,3.0543466,10.4,1.4359001,2.9,1.4,4.7,0.9174579985390796,0.0,0.9604091,0
vdjdb_full_10163_rs_1_n0_iptm_filtered,10.7093935,25.5,8.069692,7.6,1.6,21.8,0.3983353151010702,0.40784780023781214,2.9212842,0
vdjdb_full_10163_rs_2_n0_iptm_filtered,6.19951,21.1,3.8202872,5.9,1.7,10.9,0.4057142857142857,0.036734693877551024,2.649143,0
vdjdb_full_10163_rs_3_n0_iptm_filtered,9.689031,22.3,8.3546,3.9,1.3,20.6,0.5433673469387755,0.4260204081632653,1.4765306,0
vdjdb_full_10163_rs_4_n0_iptm_filtered,12.157007,28.9,11.263771,4.7,1.5,26.9,0.5198961937716263,0.3892733564013841,1.5617646,0
vdjdb_full_10163_ss_0_n0_iptm_filtered,2.7343671,15.5,2.2560148,2.0,1.1,5.26,0.889795918367347,0.0016326530612244899,1.440653,0
vdjdb_full_10163_ss_1_n0_iptm_filtered,4.27041,16.8,2.8172343,3.7,1.4,7.5699997,0.724609375,0.005859375,2.015039,0
vdjdb_full_10163_ss_2_n0_iptm_filtered,12.588386,28.2,9.497802,7.9,2.0,25.1,0.2972972972972973,0.40321402483564645,2.4620893,0
vdjdb_full_10163_ss_3_n0_iptm_filtered,3.2761834,19.5,2.571972,2.7,1.2,5.25,0.8772189349112426,0.008875739644970414,1.4340237,0
vdjdb_full_10163_ss_4_n0_iptm_filtered,11.305945,25.4,8.884694,6.9,1.6,22.9,0.42568370986920334,0.4280618311533888,2.2351964,0
vdjdb_full_10204_rs_0_n0_iptm_filtered,14.256144,28.8,12.339436,5.5,1.1800001,27.8,0.4839319470699433,0.4763705103969754,0.9788281,0
vdjdb_full_10204_rs_1_n0_iptm_filtered,9.692476,25.8,8.090399,5.3,1.6,21.3,0.4799123447772096,0.36596055514974435,2.4350622,0
vdjdb_full_10204_rs_2_n0_iptm_filtered,11.305273,25.3,7.91317,8.6,1.9,21.4,0.3271484375,0.4130859375,2.2050781,0
vdjdb_full_10204_rs_3_n0_iptm_filtered,13.54159,29.8,10.394238,9.2,1.9,27.1,0.29552469135802467,0.3888888888888889,2.2541666,0
vdjdb_full_10204_rs_4_n0_iptm_filtered,3.0512695,8.8,1.3250289,3.0,1.3,4.7,0.9287109375,0.0,0.70644534,0
vdjdb_full_10204_ss_0_n0_iptm_filtered,15.629132,28.9,11.34693,15.1,1.6,27.8,0.30578512396694213,0.5,1.8623966,0
vdjdb_full_10204_ss_1_n0_iptm_filtered,5.771598,15.6,3.8126915,4.4,1.4,11.2,0.539776462853386,0.0026298487836949377,1.7096646,0
vdjdb_full_10204_ss_2_n0_iptm_filtered,9.573958,24.4,7.223717,6.5,1.7,20.4,0.42122448979591837,0.31510204081632653,3.2409794,0
vdjdb_full_10204_ss_3_n0_iptm_filtered,6.064408,20.6,3.4922688,5.9,1.6,10.3,0.38285714285714284,0.018775510204081632,2.1983674,0
vdjdb_full_10204_ss_4_n0_iptm_filtered,4.430273,14.2,2.360292,4.2,1.4,7.5,0.6474609375,0.0,1.8140626,0
vdjdb_full_10213_rs_0_n0_iptm_filtered,2.3913581,5.3,1.1719139,2.4,0.8,4.0,0.9629629629629629,0.0,0.69382715,0
vdjdb_full_10213_rs_1_n0_iptm_filtered,13.557232,26.7,10.097671,11.6,1.3,25.27,0.35330578512396693,0.4834710743801653,1.9913224,0
vdjdb_full_10213_rs_2_n0_iptm_filtered,10.986982,26.9,10.36083,3.4,0.9,24.54,0.5621301775147929,0.4260355029585799,1.5029585,0
vdjdb_full_10213_rs_3_n0_iptm_filtered,2.5518517,6.2,1.3164778,2.5,0.8,4.3,0.9629629629629629,0.0,0.76790124,0
vdjdb_full_10213_rs_4_n0_iptm_filtered,13.067429,29.0,10.280172,8.5,1.8,26.7,0.3420408163265306,0.39102040816326533,2.186449,0
vdjdb_full_10213_ss_0_n0_iptm_filtered,8.919928,22.0,6.3875895,6.5,1.7,18.0,0.42240587695133147,0.2644628099173554,2.5818183,0
vdjdb_full_10213_ss_1_n0_iptm_filtered,14.653382,29.8,10.950522,10.3,1.9,28.3,0.2851196670135276,0.44016649323621226,2.3956294,0
vdjdb_full_10213_ss_2_n0_iptm_filtered,11.483379,25.9,7.4558587,11.0,1.6,21.3,0.28833792470156105,0.41597796143250687,3.0563822,0
vdjdb_full_10213_ss_3_n0_iptm_filtered,15.071489,29.3,10.900819,13.0,1.8,27.9,0.3048907388137357,0.48283038501560877,2.6062436,0
vdjdb_full_10213_ss_4_n0_iptm_filtered,15.677127,28.0,10.538904,14.9,1.88,26.8,0.27599243856332706,0.499054820415879,1.3981096,0
vdjdb_full_10239_rs_0_n0_iptm_filtered,15.048611,29.5,11.895508,8.45,1.6,28.6,0.3524305555555556,0.46875,1.4993055,0
vdjdb_full_10239_rs_1_n0_iptm_filtered,13.321798,29.6,10.807989,7.9,2.0,27.5,0.3607266435986159,0.3892733564013841,2.0539794,0
vdjdb_full_10239_rs_2_n0_iptm_filtered,7.1937494,19.6,6.6059237,3.15,0.9,17.04,0.6041666666666666,0.19444444444444445,1.1847223,0
vdjdb_full_10239_rs_3_n0_iptm_filtered,11.342001,26.7,9.084117,6.8,1.5,23.0,0.42777777777777776,0.4211111111111111,2.1022222,0
vdjdb_full_10239_rs_4_n0_iptm_filtered,3.8659997,13.7,1.9624937,3.7,1.4,6.3,0.7475,0.0,1.3307501,0
vdjdb_full_10239_ss_0_n0_iptm_filtered,8.20725,18.3,5.8828964,6.6499996,1.1,15.8,0.4675,0.155,1.1645,0
vdjdb_full_10239_ss_1_n0_iptm_filtered,3.5851107,11.7,1.7271881,3.5,1.3,5.7,0.8164819944598338,0.0,1.282964,0
vdjdb_full_10239_ss_2_n0_iptm_filtered,12.899792,29.0,11.23533,5.7,1.4,26.9,0.4672216441207076,0.42351716961498437,1.8037461,0
vdjdb_full_10239_ss_3_n0_iptm_filtered,7.8818183,24.1,8.934185,2.6,0.9,21.9,0.7024793388429752,0.2975206611570248,0.84132236,0
vdjdb_full_10239_ss_4_n0_iptm_filtered,6.19951,21.1,3.8202872,5.9,1.7,10.9,0.4057142857142857,0.036734693877551024,2.649143,0
vdjdb_full_10257_rs_0_n0_iptm_filtered,8.577336,22.1,6.5466747,5.9,1.3,17.75,0.4541522491349481,0.24394463667820068,2.2543252,0
vdjdb_full_10257_rs_1_n0_iptm_filtered,3.4119377,10.1,1.64916,3.2,1.4,5.6,0.837465564738292,0.0,1.1856749,0
vdjdb_full_10257_rs_2_n0_iptm_filtered,8.612975,21.7,6.260417,5.55,1.6,17.3,0.4524221453287197,0.2508650519031142,2.217647,0
vdjdb_full_10257_rs_3_n0_iptm_filtered,11.465714,26.9,9.210075,7.0,1.7,24.4,0.40653061224489795,0.3836734693877551,2.6809793,0
vdjdb_full_10257_rs_4_n0_iptm_filtered,12.157007,28.9,11.263771,4.7,1.5,26.9,0.5198961937716263,0.3892733564013841,1.5617646,0
vdjdb_full_10257_ss_0_n0_iptm_filtered,14.20606,29.7,11.323053,8.8,2.1,28.4,0.34710743801652894,0.4150596877869605,1.997429,0
